ID,Haiku,Tokens,IDs
6345,逃水を追うて捨てたる故里よ,"['逃げる/ニゲル/逃る/動詞', '水/ミズ/水/名詞', 'を/ヲ/を/助詞', '追う/オウ/追う/動詞', 'て/テ/て/助詞', '捨てる/ステル/捨てる/動詞', 'たり/タリ/たり/助動詞', '故里/フルサト/故里/名詞', 'よ/ヨ/よ/助詞']","[2454, 177, 31, 1331, 39, 601, 33, 10663, 184]"
6346,春暑く花店朝の水うてる,"['春/ハル/春/名詞', '暑い/アツイ/暑い/形容詞', '花/ハナ/花/名詞', '店/ミセ/店/接尾辞', '朝/アサ/朝/名詞', 'の/ノ/の/助詞', '水/ミズ/水/名詞', 'うつ/ウツ/うてる/動詞']","[10, 5331, 47, 2756, 852, 18, 177, 10668]"
6347,遺作展春の暑さに耐へざりき,"['遺作/イサク/遺作/名詞', '展/テン/展/接尾辞', '春/ハル/春/名詞', 'の/ノ/の/助詞', '暑い/アツイ/暑い/形容詞', 'さ/サ/さ/接尾辞', 'に/ニ/に/助詞', '耐/タイ/耐/接尾辞', 'へ/エ/へ/助詞', 'ざり/ザリ/ざり/動詞', 'き/キ/き/助動詞']","[10669, 8542, 10, 18, 5331, 403, 21, 10670, 267, 940, 82]"
6348,晴明の路ゆく媼が念珠かな,"['晴明/ハレアキラ/晴明/名詞', 'の/ノ/の/助詞', '路/ミチ/路/名詞', '行く/ユク/ゆく/動詞', '媼/オーナ/媼/名詞', 'が/ガ/が/助詞', '念珠/ネンジュ/念珠/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[10671, 18, 4861, 1020, 2190, 106, 8032, 27, 28]"
6349,嘴にまだ毛の見ゆる鶉かな,"['嘴/クチバシ/嘴/名詞', 'に/ニ/に/助詞', '未だ/イマダ/まだ/副詞', '毛/モー/毛/名詞', 'の/ノ/の/助詞', '見/ミ/見/名詞', '緩い/ユルイ/ゆるい/形容詞', '鶉/ウズラ/鶉/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[8114, 21, 2332, 2699, 18, 2410, 991, 2709, 27, 28]"
6350,伊勢の海の魚介豊かにして穀雨,"['伊勢/イセ/伊勢/名詞', 'の/ノ/の/助詞', '海/ウミ/海/名詞', 'の/ノ/の/助詞', '魚介/ギョカイ/魚介/名詞', '豊か/ユタカ/豊か/形状詞', 'だ/ダ/だ/助動詞', '為る/ナル/する/動詞', 'て/テ/て/助詞', '穀雨/コクウ/穀雨/名詞']","[1118, 18, 42, 18, 10672, 1406, 9, 16, 39, 3635]"
6351,ひねもすの穀雨の雨となりしかな,"['ひねもす/ヒネモス/ひねもす/副詞', 'の/ノ/の/助詞', '穀雨/コクウ/穀雨/名詞', 'の/ノ/の/助詞', '雨/アメ/雨/名詞', 'と/ト/と/助詞', '成る/ナル/なる/動詞', 'き/キ/き/助動詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[10145, 18, 3635, 18, 103, 67, 587, 82, 27, 28]"
6352,椿掃きし瞳に蕊の輪や弥生尽,"['椿/ツバキ/椿/名詞', '掃く/ハク/掃く/動詞', 'き/キ/き/助動詞', '瞳/ヒトミ/瞳/名詞', 'に/ニ/に/助詞', '蕊/シベ/蕊/名詞', 'の/ノ/の/助詞', '輪/ワ/輪/名詞', 'や/ヤ/や/助詞', '弥生/ヤヨイ/弥生/名詞', '尽くし/ツクシ/尽/接尾辞']","[1993, 1040, 82, 2898, 21, 3090, 18, 6222, 19, 2313, 3637]"
6353,呼子鳥また聞えずよアイノ台,"['呼子/ヨブコ/呼子/名詞', '鳥/トリ/鳥/名詞', '又/マタ/また/副詞', '聞こえる/キコエル/聞える/動詞', 'ず/ズ/ず/助動詞', 'よ/ヨ/よ/助詞', 'アイノ/アイノ/アイノ/名詞', '台/ダイ/台/名詞']","[3641, 550, 604, 9299, 3, 184, 10673, 6757]"
6354,松の木と名はしりながら呼子鳥,"['松/マツ/松/名詞', 'の/ノ/の/助詞', '木/キ/木/名詞', 'と/ト/と/助詞', '名/ナ/名/名詞', 'は/ワ/は/助詞', '知る/シル/しる/動詞', 'ながら/ナガラ/ながら/助詞', '呼子/ヨブコ/呼子/名詞', '鳥/トリ/鳥/名詞']","[1140, 18, 182, 67, 2132, 43, 420, 1501, 3641, 550]"
6355,クレヨンと雀の卵置いてある,"['クレヨン/クレヨン/クレヨン/名詞', 'と/ト/と/助詞', '雀/スズメ/雀/名詞', 'の/ノ/の/助詞', '卵/タマゴ/卵/名詞', '置く/オク/置く/動詞', 'て/テ/て/助詞', '有る/アル/ある/動詞']","[10674, 67, 1057, 18, 3646, 3181, 39, 99]"
6356,雨寒きびんずゐの卵巣にひかり,"['雨/アメ/雨/名詞', '寒い/サムイ/寒い/形容詞', '機敏/キビン/きびん/形状詞', 'ず/ズ/ず/助動詞', '居る/イル/ゐる/動詞', 'の/ノ/の/助詞', '卵巣/ランソー/卵巣/名詞', 'に/ニ/に/助詞', '光/ヒカリ/ひかり/名詞']","[103, 402, 10675, 3, 441, 18, 10676, 21, 1253]"
6357,頬白や子の欲しきもの限りなし,"['頬白/ホージロ/頬白/名詞', 'や/ヤ/や/助詞', '子/コ/子/名詞', 'の/ノ/の/助詞', '欲しい/ホシイ/欲しい/形容詞', '着物/キモノ/きもの/名詞', '限り無い/カギリナイ/限りなし/形容詞']","[3647, 19, 541, 18, 3533, 4450, 10677]"
6358,雪解野の瀬岐れまぶし帰り山鴫,"['雪解/ユキゲ/雪解/名詞', '野/ノ/野/接尾辞', 'の/ノ/の/助詞', '瀬/セ/瀬/名詞', '分かれる/ワカレル/岐れる/動詞', '塗し/マブシ/まぶし/名詞', '帰り/カエリ/帰り/名詞', '山鴫/ヤマシギ/山鴫/名詞']","[270, 470, 18, 1294, 10678, 10679, 932, 10680]"
6359,掃きもせで雨の宵寝や春の蚤,"['掃く/ハク/掃く/動詞', 'も/モ/も/助詞', '為る/ナル/する/動詞', 'で/デ/で/接続詞', '雨/アメ/雨/名詞', 'の/ノ/の/助詞', '宵寝/ヨイネ/宵寝/名詞', 'や/ヤ/や/助詞', '春/ハル/春/名詞', 'の/ノ/の/助詞', '蚤/ノミ/蚤/名詞']","[1040, 11, 16, 1673, 103, 18, 10681, 19, 10, 18, 3652]"
6360,新蚤といふやつが出てうたてけれ,"['新/シン/新/接頭辞', '蚤/ノミ/蚤/名詞', 'と/ト/と/助詞', '言う/イウ/いふ/動詞', '奴/ヤツ/やつ/名詞', 'が/ガ/が/助詞', '出る/デル/出る/動詞', 'て/テ/て/助詞', 'うつ/ウツ/うつ/動詞', 'てく/テク/てける/助動詞']","[2137, 3652, 67, 1836, 7306, 106, 663, 39, 1674, 10682]"
6361,春蝉の声引き潮の音もなく,"['春蝉/ハルゼミ/春蝉/名詞', 'の/ノ/の/助詞', '声/コエ/声/名詞', '引き潮/ヒキシオ/引き潮/名詞', 'の/ノ/の/助詞', '音/オト/音/名詞', 'も/モ/も/助詞', '無い/ナイ/ない/形容詞']","[3654, 18, 148, 10683, 18, 315, 11, 68]"
6362,春蝉や多摩の横山ふかゝらず,"['春蝉/ハルゼミ/春蝉/名詞', 'や/ヤ/や/助詞', '多摩/タマ/多摩/名詞', 'の/ノ/の/助詞', '横山/ヨコヤマ/横山/名詞', 'ふ/フ/ふ/接尾辞', '掛かる/カカル/かかる/動詞', 'ず/ズ/ず/助動詞']","[3654, 19, 2199, 18, 4199, 677, 758, 3]"
6363,たはやすくつゆ思はねど目借どき,"['だ/ダ/た/助動詞', 'は/ワ/は/助詞', 'やすい/ヤスイ/やすい/形容詞', 'つゆ/ツユ/つゆ/名詞', '思う/オモウ/思ふ/動詞', 'ず/ズ/ぬ/助動詞', 'ど/ド/ど/助詞', '目/メ/目/名詞', '借り/カリ/借/名詞', '時/トキ/どき/名詞']","[4439, 43, 10684, 6780, 889, 70, 123, 304, 3656, 4391]"
6364,怠け教師汽車を目送目借時,"['怠ける/ナマケル/怠ける/動詞', '教師/キョーシ/教師/名詞', '汽車/キシャ/汽車/名詞', 'を/ヲ/を/助詞', '目送/モクソー/目送/名詞', '目/メ/目/接尾辞', '借り/カリ/借/名詞', '時/トキ/時/名詞']","[7377, 3663, 3378, 31, 10685, 898, 3656, 159]"
6365,底たゝく春の隅より遅ざくら,"['底/ソコ/底/名詞', '叩く/タタク/たたく/動詞', '春/ハル/春/名詞', 'の/ノ/の/助詞', '隅/スミ/隅/名詞', 'より/ヨリ/より/助詞', '遅い/オソイ/遅い/形容詞', '桜/サクラ/ざくら/名詞']","[360, 426, 10, 18, 4208, 183, 3128, 2333]"
6366,一もとの姥子の宿の遅桜,"['1/イチ/一/名詞', 'もと/モト/もと/名詞', 'の/ノ/の/助詞', '姥子/ウバコ/姥子/名詞', 'の/ノ/の/助詞', '宿/ヤド/宿/名詞', 'の/ノ/の/助詞', '遅/オソ/遅/名詞', '桜/サクラ/桜/名詞']","[180, 760, 18, 10686, 18, 92, 18, 3661, 494]"
6367,桜蘂ふる日荒べり奥穂高,"['桜蘂/サクラシベ/桜蘂/名詞', 'ふる/フル/ふる/動詞', '日/ヒ/日/名詞', '荒い/アライ/荒い/形容詞', '縁/エン/べり/名詞', '奥穂高/オクホダカ/奥穂高/名詞']","[3662, 299, 231, 4519, 5420, 10687]"
6368,むささびの薄暮散らすや遅桜,"['鼯鼠/ムササビ/むささび/名詞', 'の/ノ/の/助詞', '薄暮/ハクボ/薄暮/名詞', '散らす/チラス/散らす/動詞', 'や/ヤ/や/助詞', '遅/オソ/遅/名詞', '桜/サクラ/桜/名詞']","[9558, 18, 10688, 7370, 19, 3661, 494]"
6369,落葉松の萌えて河原湯みどりなす,"['唐松/カラマツ/落葉松/名詞', 'の/ノ/の/助詞', '萌える/モエル/萌える/動詞', 'て/テ/て/助詞', '河原湯/カワラユ/河原湯/名詞', '緑/ミドリ/みどり/名詞', '成す/ナス/なす/動詞']","[3666, 18, 3493, 39, 10689, 1124, 373]"
6370,星近し落葉松の芽を濡らすほど,"['星/ホシ/星/名詞', '近い/チカイ/近し/形容詞', '唐松/カラマツ/落葉松/名詞', 'の/ノ/の/助詞', '芽/メ/芽/名詞', 'を/ヲ/を/助詞', '濡らす/ヌラス/濡らす/動詞', 'ほど/ホド/ほど/助詞']","[644, 4166, 3666, 18, 992, 31, 3932, 754]"
6371,雨や色かた山梨の朝しめり,"['雨/アメ/雨/名詞', 'や/ヤ/や/助詞', '色/イロ/色/名詞', '方/ホー/かた/名詞', '山梨/ヤマナシ/山梨/名詞', 'の/ノ/の/助詞', '朝/アサ/朝/名詞', '湿る/シメル/しめる/動詞']","[103, 19, 139, 1855, 2386, 18, 852, 3629]"
6372,やまなしやたしなき花に夕颪,"['やまなし/ヤマナシ/やまなし/名詞', 'や/ヤ/や/助詞', '足し/タシ/たし/名詞', '無い/ナイ/なし/形容詞', '花/ハナ/花/名詞', 'に/ニ/に/助詞', '夕/ユー/夕/名詞', '颪/オロシ/颪/名詞']","[10690, 19, 1536, 333, 47, 21, 1104, 10691]"
6373,カリンいつ花過ぎし菜園へ出づ,"['花梨/カリン/カリン/名詞', 'いつ/イツ/いつ/代名詞', '花/ハナ/花/名詞', '過ぎ/スギ/過ぎ/接尾辞', '為る/ナル/する/動詞', '菜園/サイエン/菜園/名詞', 'へ/エ/へ/助詞', '出る/デル/出づ/動詞']","[10692, 1883, 47, 3588, 16, 10693, 267, 597]"
6374,内井戸に汲み住む家や榠樝咲く,"['内/ウチ/内/名詞', '井戸/イド/井戸/名詞', 'に/ニ/に/助詞', '汲む/クム/汲む/動詞', '住む/スム/住む/動詞', '家/イエ/家/名詞', 'や/ヤ/や/助詞', '榠樝/榠樝/榠樝/名詞', '咲く/サク/咲く/動詞']","[4953, 9666, 21, 505, 948, 763, 19, 3670, 368]"
6375,このここがさくらんぼうになるらしき,"['此の/コノ/この/連体詞', '此処/ココラ/ここ/代名詞', 'が/ガ/が/助詞', '桜ん坊/サクランボー/さくらんぼう/名詞', 'に/ニ/に/助詞', '成る/ナル/なる/動詞', 'らし/ラシ/らし/助動詞']","[869, 1099, 106, 5319, 21, 587, 3454]"
6376,桜桃の花純白を通しけり,"['桜桃/オートー/桜桃/名詞', 'の/ノ/の/助詞', '花/ハナ/花/名詞', '純白/ジュンパク/純白/名詞', 'を/ヲ/を/助詞', '通す/トース/通す/動詞', 'けり/ケリ/けり/助動詞']","[3672, 18, 47, 10694, 31, 475, 301]"
6377,ふたとせの病ひ榲桲咲くあはれ,"['二/ニ/ふた/名詞', '年/トシ/とせ/接尾辞', 'の/ノ/の/助詞', '病/ヤマイ/病/名詞', 'ひ/ヒ/ひ/名詞', '榲桲/榲桲/榲桲/名詞', '咲く/サク/咲く/動詞', '哀れ/アワレ/あはれ/名詞']","[5772, 3003, 18, 435, 129, 10695, 368, 1304]"
6378,まるめろの花散る溝や家鴨の子,"['丸める/マルメル/まるめる/動詞', 'の/ノ/の/助詞', '花/ハナ/花/名詞', '散る/チル/散る/動詞', '溝/ミゾ/溝/名詞', 'や/ヤ/や/助詞', '家鴨/アヒル/家鴨/名詞', 'の/ノ/の/助詞', '子/コ/子/名詞']","[8401, 18, 47, 757, 5905, 19, 1795, 18, 541]"
6379,岩山の岩のわれ目や桷の花,"['岩山/イワヤマ/岩山/名詞', 'の/ノ/の/助詞', '岩/イワ/岩/名詞', 'の/ノ/の/助詞', '割れ目/ワレメ/われ目/名詞', 'や/ヤ/や/助詞', '桷/桷/桷/名詞', 'の/ノ/の/助詞', '花/ハナ/花/名詞']","[8359, 18, 1833, 18, 10696, 19, 10697, 18, 47]"
6380,山梨の花や白雲晴るゝ山,"['山梨/ヤマナシ/山梨/名詞', 'の/ノ/の/助詞', '花/ハナ/花/名詞', 'や/ヤ/や/助詞', '白/シロ/白/名詞', '雲晴/クモハレ/雲晴/名詞', 'るる/ルル/るる/名詞', '山/ヤマ/山/接尾辞']","[2386, 18, 47, 19, 794, 10698, 733, 1243]"
6381,朝より夕が白し雪柳,"['朝/アサ/朝/名詞', 'より/ヨリ/より/助詞', '夕/ユー/夕/名詞', 'が/ガ/が/助詞', '申す/モース/白す/動詞', '雪柳/ユキヤナギ/雪柳/名詞']","[852, 183, 1104, 106, 7437, 2881]"
6382,雪柳花みちて影やはらかき,"['雪柳/ユキヤナギ/雪柳/名詞', '花/ハナ/花/名詞', '満ちる/ミチル/みちる/動詞', 'て/テ/て/助詞', '影/カゲ/影/名詞', 'や/ヤ/や/助詞', 'はら/ハラ/はら/名詞', 'かく/カク/かく/動詞']","[2881, 47, 1633, 39, 1022, 19, 581, 1108]"
6383,長春の花あたゝかき小雨かな,"['長春/チョーシュン/長春/名詞', 'の/ノ/の/助詞', '花/ハナ/花/名詞', '温か/アタタカ/あたたか/形状詞', 'き/キ/き/助動詞', '小雨/コサメ/小雨/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[10699, 18, 47, 3679, 82, 546, 27, 28]"
6384,徳本の門の内なり長春花,"['徳本/トクモト/徳本/名詞', 'の/ノ/の/助詞', '門/モン/門/名詞', 'の/ノ/の/助詞', '内/ウチ/内/名詞', '成る/ナル/なる/動詞', '長春花/チョーシュンハナ/長春花/名詞']","[10700, 18, 1563, 18, 4953, 587, 3675]"
6385,山査子の花巫女になる髪結うて,"['山査子/サンザシ/山査子/名詞', 'の/ノ/の/助詞', '花/ハナ/花/名詞', '巫女/ミコ/巫女/名詞', 'に/ニ/に/助詞', '成る/ナル/なる/動詞', '髪/カミ/髪/名詞', '結う/ユウ/結う/動詞', 'て/テ/て/助詞']","[3676, 18, 47, 10701, 21, 587, 987, 9012, 39]"
6386,花山査子古妻ながら夢はあり,"['花/ハナ/花/名詞', '山査子/サンザシ/山査子/名詞', '古妻/コツマ/古妻/名詞', 'ながら/ナガラ/ながら/助詞', '夢/ユメ/夢/名詞', 'は/ワ/は/助詞', '有る/アル/ある/動詞']","[47, 3676, 1697, 1501, 1878, 43, 99]"
6387,藪底の雪いつまでぞ花青木,"['藪/ヤブ/藪/名詞', '底/ソコ/底/名詞', 'の/ノ/の/助詞', '雪/ユキ/雪/名詞', 'いつ/イツ/いつ/代名詞', 'まで/マデ/まで/助詞', 'ぞ/ゾ/ぞ/助詞', '花/ハナ/花/名詞', '青木/アオキ/青木/名詞']","[769, 360, 18, 29, 1883, 974, 386, 47, 3678]"
6388,よく見れば花盛りなる青木かな,"['良く/ヨク/よく/副詞', '見る/ミル/見る/動詞', 'ば/バ/ば/助詞', '花盛り/ハナザカリ/花盛り/名詞', 'なり/ナリ/なり/助動詞', '青木/アオキ/青木/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[1305, 215, 4, 636, 136, 3678, 27, 28]"
6389,軽装の人鈴懸の花の下に,"['軽装/ケーソー/軽装/名詞', 'の/ノ/の/助詞', '人/ヒト/人/名詞', '鈴懸/スズカケ/鈴懸/名詞', 'の/ノ/の/助詞', '花/ハナ/花/名詞', 'の/ノ/の/助詞', '下/シタ/下/名詞', 'に/ニ/に/助詞']","[10702, 18, 210, 3681, 18, 47, 18, 874, 21]"
6390,プラタナスの花咲き河岸に書肆ならぶ,"['プラタナス/プラタナス/プラタナス/名詞', 'の/ノ/の/助詞', '花咲き/ハナザキ/花咲き/名詞', '河岸/カワギシ/河岸/名詞', 'に/ニ/に/助詞', '書肆/ショシ/書肆/名詞', '並ぶ/ナラブ/ならぶ/動詞']","[4239, 18, 638, 5618, 21, 7492, 10703]"
6391,月けぶる銀杏の花の匂ふ夜は,"['月/ツキ/月/名詞', '煙る/ケムル/けぶる/動詞', '銀杏/イチョー/銀杏/名詞', 'の/ノ/の/助詞', '花/ハナ/花/名詞', 'の/ノ/の/助詞', '匂う/ニオウ/匂ふ/動詞', '夜/ヨル/夜/名詞', 'は/ワ/は/助詞']","[115, 3610, 8067, 18, 47, 18, 590, 102, 43]"
6392,銀杏咲く切支丹寺の化粧ひ妻,"['銀杏/イチョー/銀杏/名詞', '咲く/サク/咲く/動詞', 'キリシタン/キリシタン/切支丹/名詞', '寺/テラ/寺/接尾辞', 'の/ノ/の/助詞', '化粧/ケショー/化粧/名詞', 'ひ/ヒ/ひ/名詞', '妻/ツマ/妻/名詞']","[8067, 368, 10704, 1451, 18, 10705, 129, 311]"
6393,人知らぬ賀名生の御所や榧の花,"['人/ヒト/人/名詞', '知る/シル/知る/動詞', 'ず/ズ/ぬ/助動詞', '賀名生/カナセー/賀名生/名詞', 'の/ノ/の/助詞', '御所/ゴショ/御所/名詞', 'や/ヤ/や/助詞', '榧/カヤ/榧/名詞', 'の/ノ/の/助詞', '花/ハナ/花/名詞']","[210, 577, 70, 10706, 18, 2759, 19, 3684, 18, 47]"
6394,湯の神の賽者もなくて榧の花,"['湯/ユ/湯/名詞', 'の/ノ/の/助詞', '神/カミ/神/名詞', 'の/ノ/の/助詞', '賽/サイ/賽/名詞', '者/モノ/者/接尾辞', 'も/モ/も/助詞', '無い/ナイ/ない/形容詞', 'て/テ/て/助詞', '榧/カヤ/榧/名詞', 'の/ノ/の/助詞', '花/ハナ/花/名詞']","[593, 18, 3440, 18, 3537, 2134, 11, 68, 39, 3684, 18, 47]"
6395,樫の花散り敷く小径志木に出づ,"['樫/カシ/樫/名詞', 'の/ノ/の/助詞', '花/ハナ/花/名詞', '散る/チル/散る/動詞', '敷く/シク/敷く/動詞', '小径/ショーケー/小径/名詞', '志木/シキ/志木/名詞', 'に/ニ/に/助詞', '出る/デル/出づ/動詞']","[3687, 18, 47, 757, 6372, 10707, 10708, 21, 597]"
6396,夕おぼろ葉深く樫の花見たり,"['夕/ユー/夕/名詞', '朧/オボロ/おぼろ/形状詞', '葉/ハ/葉/名詞', '深い/フカイ/深い/形容詞', '樫/カシ/樫/名詞', 'の/ノ/の/助詞', '花見/ハナミ/花見/名詞', 'たり/タリ/たり/助詞']","[1104, 7722, 332, 1147, 3687, 18, 934, 89]"
6397,おがたまの花ちる神の庭を掃く,"['おがた/オガタ/おがた/名詞', 'ま/マ/ま/名詞', 'の/ノ/の/助詞', '花/ハナ/花/名詞', '散る/チル/ちる/動詞', '神/カミ/神/名詞', 'の/ノ/の/助詞', '庭/ニワ/庭/名詞', 'を/ヲ/を/助詞', '掃く/ハク/掃く/動詞']","[2947, 2948, 18, 47, 506, 3440, 18, 1072, 31, 1040]"
6398,楮咲く花のゆかりや国栖の里,"['楮/コーゾ/楮/名詞', '咲く/サク/咲く/動詞', '花/ハナ/花/名詞', 'の/ノ/の/助詞', '縁/エン/ゆかり/名詞', 'や/ヤ/や/助詞', '国栖/クズ/国栖/名詞', 'の/ノ/の/助詞', '里/サト/里/名詞']","[3693, 368, 47, 18, 3989, 19, 3839, 18, 870]"
6399,はしばみの花の粉のふる新墓かな,"['はし/ハシ/はし/名詞', 'ばみ/バミ/ばみ/接尾辞', 'の/ノ/の/助詞', '花/ハナ/花/名詞', 'の/ノ/の/助詞', '粉/コナ/粉/名詞', 'の/ノ/の/助詞', '経る/ヘル/ふ/動詞', '新/シン/新/接頭辞', '墓/ハカ/墓/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[2644, 3696, 18, 47, 18, 6845, 18, 4202, 2137, 1089, 27, 28]"
6400,耳聡き犬に白樺の花散るも,"['耳聡/ミミサトシ/耳聡/名詞', 'き/キ/き/助動詞', '犬/イヌ/犬/名詞', 'に/ニ/に/助詞', '白樺/シラカバ/白樺/名詞', 'の/ノ/の/助詞', '花/ハナ/花/名詞', '散る/チル/散る/動詞', 'も/モ/も/助詞']","[10709, 82, 2698, 21, 3701, 18, 47, 757, 11]"
6401,廃鉱の峡の雪嵩樺の花,"['廃鉱/ハイコー/廃鉱/名詞', 'の/ノ/の/助詞', '峡/カイ/峡/名詞', 'の/ノ/の/助詞', '雪/ユキ/雪/名詞', '嵩/カサ/嵩/名詞', '樺/カバ/樺/名詞', 'の/ノ/の/助詞', '花/ハナ/花/名詞']","[10710, 18, 6635, 18, 29, 568, 10711, 18, 47]"
6402,春もやゝ雀がくれや草の丈,"['春/ハル/春/名詞', 'も/モ/も/助詞', 'やや/ヤヤ/やや/副詞', '雀/スズメ/雀/名詞', 'が/ガ/が/助詞', '呉れる/クレル/くれる/動詞', 'や/ヤ/や/助詞', '草/クサ/草/名詞', 'の/ノ/の/助詞', '丈/タケ/丈/名詞']","[10, 11, 2160, 1057, 106, 401, 19, 48, 18, 2922]"
6403,木の芽だつ雀がくれやぬけ参,"['木/キ/木/名詞', 'の/ノ/の/助詞', '芽立つ/メダツ/芽だつ/動詞', '雀/スズメ/雀/名詞', 'が/ガ/が/助詞', '呉れる/クレル/くれる/動詞', 'や/ヤ/や/助詞', '抜ける/ヌケル/ぬける/動詞', '参/マイリ/参/名詞']","[182, 18, 10712, 1057, 106, 401, 19, 1588, 3928]"
6404,松の下熊谷草の花一つ,"['松/マツ/松/名詞', 'の/ノ/の/助詞', '下熊谷/シモクマタニ/下熊谷/名詞', '草/クサ/草/名詞', 'の/ノ/の/助詞', '花/ハナ/花/名詞', '1/イチ/一/名詞', 'つ/ツ/つ/接尾辞']","[1140, 18, 10713, 48, 18, 47, 180, 181]"
6405,風はらむ熊谷草の花の母衣,"['風/カゼ/風/名詞', '孕む/ハラム/はらむ/動詞', '熊谷草/クマガイクサ/熊谷草/名詞', 'の/ノ/の/助詞', '花/ハナ/花/名詞', 'の/ノ/の/助詞', '幌/ホロ/母衣/名詞']","[186, 10714, 3708, 18, 47, 18, 10715]"
6406,田中の洲きつねのぼたん花さはに,"['田中/タナカ/田中/名詞', 'の/ノ/の/助詞', '洲/シマ/洲/名詞', '狐/キツネ/きつね/名詞', 'の/ノ/の/助詞', '牡丹/ボタン/ぼたん/名詞', '花/ハナ/花/名詞', 'さ/サ/さ/接尾辞', 'は/ワ/は/助詞', 'に/ニ/に/助詞']","[10716, 18, 10717, 10718, 18, 10719, 47, 403, 43, 21]"
6407,蕨折つて戻る径やいちげ草,"['蕨/ワラビ/蕨/名詞', '折/オリ/折/名詞', '伝/ツテ/つて/名詞', '戻る/モドル/戻る/動詞', '小道/コミチ/径/名詞', 'や/ヤ/や/助詞', '一/イチ/いち/名詞', 'げ/ゲ/げ/接尾辞', '草/クサ/草/名詞']","[2215, 406, 1150, 4081, 345, 19, 3879, 681, 48]"
6408,道なき谿一輪草の寂しさよ,"['道/ミチ/道/名詞', '無い/ナイ/なし/形容詞', '谷/タニ/谿/名詞', '一輪草/イチリンソー/一輪草/名詞', 'の/ノ/の/助詞', '寂しい/サビシイ/寂しい/形容詞', 'さ/サ/さ/接尾辞', 'よ/ヨ/よ/助詞']","[1576, 333, 9186, 3717, 18, 782, 403, 184]"
6409,森の奥に日ざしうつらふ二輪草,"['森/モリ/森/名詞', 'の/ノ/の/助詞', '奥/オク/奥/名詞', 'に/ニ/に/助詞', '日差し/ヒザシ/日ざし/名詞', 'うつる/ウツル/うつる/動詞', 'ふ/フ/ふ/接頭辞', '二輪草/ニリンクサ/二輪草/名詞']","[2966, 18, 795, 21, 3154, 272, 1052, 3719]"
6410,二輪草雪代はしり田にそゝぐ,"['二輪草/ニリンクサ/二輪草/名詞', '雪代/ユキダイ/雪代/名詞', 'は/ワ/は/助詞', 'しり/シリ/しり/名詞', '田/タ/田/接尾辞', 'に/ニ/に/助詞', 'そそぐ/ソソグ/そそぐ/動詞']","[3719, 303, 43, 1942, 5437, 21, 2568]"
6411,花しべの白毛垂れたり翁草,"['花/ハナ/花/名詞', '蕊/シベ/しべ/名詞', 'の/ノ/の/助詞', '白髪/ハクハツ/白毛/名詞', '垂れる/シダレル/垂れる/動詞', 'たり/タリ/たり/助詞', '翁草/オキナグサ/翁草/名詞']","[47, 10720, 18, 10721, 1594, 89, 3722]"
6412,翁草野の枯色はしりぞかず,"['翁草/オキナグサ/翁草/名詞', '野/ノ/野/接尾辞', 'の/ノ/の/助詞', '枯色/カレイロ/枯色/名詞', 'は/ワ/は/助詞', '退く/シリゾク/しりぞく/動詞', 'ず/ズ/ず/助動詞']","[3722, 470, 18, 10722, 43, 10723, 3]"
6413,群れ咲いて二人静と云ふは嘘,"['群れる/ムレル/群れる/動詞', '咲く/サク/咲く/動詞', 'て/テ/て/助詞', '二人静/フタリシズカ/二人静/名詞', 'と/ト/と/助詞', '言う/イウ/云ふ/動詞', 'は/ワ/は/助詞', '嘘/ウソ/嘘/名詞']","[3718, 368, 39, 3723, 67, 9069, 43, 10724]"
6414,二人静に跼みて高野詣でなる,"['二人静/フタリシズカ/二人静/名詞', 'に/ニ/に/助詞', '屈む/カガム/跼む/動詞', 'て/テ/て/助詞', '高野/タカノ/高野/名詞', '詣で/モーデ/詣で/名詞', 'なり/ナリ/なり/助動詞']","[3723, 21, 10725, 39, 5489, 7230, 136]"
6415,咲かで過ぎぬ仙台萩の二年越,"['咲き/サキ/咲/名詞', 'か/カ/か/助詞', 'で/デ/で/助詞', '過ぎる/スギル/過ぎる/動詞', 'ず/ズ/ぬ/助動詞', '仙台萩/センダイハギ/仙台萩/名詞', 'の/ノ/の/助詞', '2/ニ/二/名詞', '年/トシ/年/名詞', '越/コシ/越/名詞']","[662, 27, 58, 1381, 70, 3728, 18, 114, 611, 1157]"
6416,仙台萩大宮人はいかにいふ,"['仙台萩/センダイハギ/仙台萩/名詞', '大宮/オーミヤ/大宮/名詞', '人/ヒト/人/名詞', 'は/ワ/は/助詞', '如何に/イカニ/いかに/副詞', '言う/イウ/いふ/動詞']","[3728, 10726, 210, 43, 6485, 1836]"
6417,薪小屋へ雪崩咲きたる山吹草,"['薪/タキギ/薪/名詞', '小屋/コヤ/小屋/名詞', 'へ/エ/へ/助詞', '雪崩/ナダレ/雪崩/名詞', '咲き/サキ/咲き/名詞', 'たり/タリ/たり/助動詞', '山吹草/ヤマブキクサ/山吹草/名詞']","[6939, 2993, 267, 317, 822, 33, 3737]"
